name,address_street,address_suite,address_zip,inspection_date,inspection_score,inspection_type
DEARL'S SUPERMARKET,9223 ELAM RD,,75217,2015-04-20,61,routine
HISSHO SUSHI @ THE LANDING CAFE,2702 LOVE FIELD DR,#100,75235,2015-04-20,81,routine
LA NUEVA PUNTADA #8,3800 S LANCASTER RD,,75216,2015-04-20,81,routine
HALL'S HONEY FRIED CHICKEN & BBQ,4845 S LANCASTER RD,,75216,2015-04-20,84,routine
SAM'S WOK CHINESE RESTAURANT,6959 ARAPAHO RD,#115,75248,2015-04-20,84,routine
THE DOG STOP,6857 ARAPAHO RD,,75248,2015-04-20,84,routine
WHATABURGER #604,3710 W NORTHWEST HWY,,75220,2015-04-20,84,routine
HARRY C WITHERS ELEM,3959 NORTHAVEN RD,,75229,2015-04-20,85,routine
SAGE DINING SVC,15720 HILLCREST RD,,75248,2015-04-20,86,routine
T C MARSH JR HIGH,3838 CROWN SHORE RD,,75234,2015-04-20,86,routine
KROGER #518 GROCERY/PRODUCE,5665 E MOCKINGBIRD LN,,75206,2015-04-20,87,routine
E P CAILLET ELEMENTARY,3033 MERRELL RD,,75229,2015-04-20,88,routine
EL PAISA COCINA,10091 HARRY HINES BLVD,,75220,2015-04-20,88,routine
ALL SAINTS CATHOLIC CHURCH,5231 MEADOWCREEK DR,,75248,2015-04-20,89,routine
EL TACASO #3,902 N WESTMORELAND RD,FRONT,75211,2015-04-20,89,routine
BENGAL FOOD STORE,3003 S BUCKNER BLVD,,75227,2015-04-20,90,routine
CHINA VILLAGE,655 W ILLINOIS AVE,#703,75224,2015-04-20,90,routine
HEB CENTRAL MKT/FISH,10720 PRESTON RD,#1018,75230,2015-04-20,90,routine
KROGER #518 MEAT/SEAFOOD,5665 E MOCKINGBIRD LN,,75206,2015-04-20,90,routine
EL TACASO BACKROOM,902 N WESTMORELAND RD,REAR,75211,2015-04-20,91,routine
F D ROOSEVELT HIGH SCHOOL,525 BONNIE VIEW RD,,75203,2015-04-20,91,routine
AFC SUSHI - (INSIDE KROGER),5665 E MOCKINGBIRD LN,,75206,2015-04-20,92,routine
E H CARY JR HIGH,3978 KILLION DR,,75229,2015-04-20,92,routine
FAMILY DOLLAR #6145,1400 W DAVIS ST,,75208,2015-04-20,92,routine
KROGER #518 CHEF STATION,5665 E MOCKINGBIRD LN,,75206,2015-04-20,92,routine
KROGER #518 DELI,5665 E MOCKINGBIRD LN,,75206,2015-04-20,92,routine
GUCKENHEIMER,13500 N CENTRAL EXPW,,75243,2015-04-20,93,routine
KROGER #518 BAKERY/ WINE,5665 E MOCKINGBIRD LN,,75206,2015-04-20,93,routine
A S JOHNSON ELEMENTARY,2020 MOUSER ST,,75203,2015-04-20,94,routine
HEB CENTRAL MARKET BAKERY,10720 PRESTON RD,#1018,75230,2015-04-20,94,routine
TOWNVIEW MAGNET HIGH SCH,1201 E EIGHTH ST,,75203,2015-04-20,94,routine
GUCKENHEIMER,13353 T I BLVD,MS302,75243,2015-04-20,96,routine
GUCKENHEIMER @ TEXAS INSTRUMENTS SC BLDG,13532 N CENTRAL EXPW,,75243,2015-04-20,96,routine
HEB CENTRAL MKT/DELI,10720 PRESTON RD,#1018,75230,2015-04-20,96,routine
SOUTHWEST AIRLINES STARBUCKS & RUNWAY CAFE,2432 WYMAN ST,,75235,2015-04-20,96,routine
CJ & ANN HYMAN ELEMENTARY,8441 FOXCREEK TRL,,75249,2015-04-20,97,routine
HEB CENTRAL MARKET GROCERY/PRODUCE,10720 PRESTON RD,#1018,75230,2015-04-20,97,routine
HEB CENTRAL MKT/JUICE,10720 PRESTON RD,#1018,75230,2015-04-20,97,routine
CAMPISI'S PIZZA TOGO,5665 E MOCKINGBIRD LN,,75206,2015-04-20,100,routine
KROGER #518 STARBUCKS,5665 E MOCKINGBIRD LN,,75206,2015-04-20,100,routine
TEXAS INSTRUMENTS DMOS6,13011 T I BLVD,BLDG,75243,2015-04-20,100,routine
METHODIST CHARLTON CAFETERIA FL1,3500 W WHEATLAND RD,,75237,2015-04-21,84,follow-up
MICHOACANOS TAQUERIA,2725 S BUCKNER BLVD,#100,75227,2015-04-21,71,routine
FLYING HORSE CAFE,1401 COMMERCE ST,#A,75201,2015-04-21,76,routine
HOTEL MAGNOLIA,1401 COMMERCE ST,,75201,2015-04-21,77,routine
ANISA'S KITCHEN,7777 FOREST LN,#A-72,75230,2015-04-21,80,routine
JERRY'S SUPERMARKET,1719 SINGLETON BLVD,,75212,2015-04-21,80,routine
JOHN'S SEAFOOD & CHICKEN,4925 BONNIE VIEW RD,,75241,2015-04-21,80,routine
MORALES RESTAURANT,612 SCHOOLDELL DR,,75211,2015-04-21,80,routine
ODOMS' BBQ,1971 SINGLETON BLVD,,75212,2015-04-21,80,routine
STEVENS PARK GOLF COURSE,1005 N MONTCLAIR AVE,,75208,2015-04-21,80,routine
POPEYES,2978 W WHEATLAND RD,,75237,2015-04-21,81,routine
BEST BURGER,2031 S BUCKNER BLVD,#B,75217,2015-04-21,82,routine
GOLD RUSH CAFE,1913 SKILLMAN ST,,75206,2015-04-21,82,routine
TEXADELPHIA #2,5500 GREENVILLE AVE,#600,75206,2015-04-21,82,routine
CHURCH'S CHICKEN,2019 SINGLETON BLVD,,75212,2015-04-21,83,routine
OLIVE GARDEN,10280 E TECHNOLOGY BLVD,,75220,2015-04-21,83,routine
DOMINO'S PIZZA #6564,4880 SUNNYVALE ST,#2714,75216,2015-04-21,85,routine
JUICENG HEALTH BAR,5500 GREENVILLE AVE,#100,75206,2015-04-21,85,routine
TEN BELLS TAVERN,232 W SEVENTH ST,,75208,2015-04-21,85,routine
WIMPY'S JR,1802 SINGLETON BLVD,,75212,2015-04-21,85,routine
7-ELEVEN #34102,2061 FORT WORTH AVE,,75208,2015-04-21,86,routine
HAWAIIAN ICE CREAM,7777 FOREST LN,C-92,75230,2015-04-21,86,routine
COLUMBIA HOSPITAL - BLDG A,7777 FOREST LN,,75230,2015-04-21,87,routine
NEW YORK BAKERY,2240 ROYAL LN,#104,75229,2015-04-21,87,routine
WALGREENS #04459,8120 S COCKRELL HILL RD,,75237,2015-04-21,87,routine
WEEKEND,1511 COMMERCE ST,,75201,2015-04-21,87,routine
WILLIAMS FRIED CHICKEN,4875 SUNNYVALE ST,,75216,2015-04-21,87,routine
TIZON TAKOZ ARANDAZ,8921 LAKE JUNE RD,,75217,2015-04-21,88,routine
HARDEMAN'S BBQ & CATERING,618 S WESTMORELAND RD,,75211,2015-04-21,89,routine
BENNY'S BAGELS LAKEWOOD,1901 SKILLMAN ST,,75206,2015-04-21,90,routine
GATEWAY CHARTER ACADEMY,1015 E WHEATLAND RD,,75241,2015-04-21,91,routine
HARRY STONE ELEMENTARY,4747 VETERANS DR,,75216,2015-04-21,91,routine
JACK IN THE BOX #729,1020 S WESTMORELAND RD,,75211,2015-04-21,91,routine
SARAH ZUMWALT JR H S,2445 E LEDBETTER DR,,75216,2015-04-21,91,routine
PANDA EXPRESS #992,5500 GREENVILLE AVE,200,75206,2015-04-21,92,routine
ST MARY OF CARMEL SCHOOL,1716 SINGLETON BLVD,,75212,2015-04-21,93,routine
WHITEACRE- STARBUCKS,208 S AKARD ST,103,75202,2015-04-21,93,routine
HALLS CHICKEN SHACK,2327 S BUCKNER BLVD,,75227,2015-04-21,94,routine
KENNEDY-CURRY MIDDLE SCHOOL,6605 SEBRING DR,,75241,2015-04-21,94,routine
PIZZA HUT #744011,2223 S BUCKNER BLVD,#245,75217,2015-04-21,94,routine
DOCTORS DINING AREA,7777 FOREST LN,,75211,2015-04-21,95,routine
MOMENTOUS INSTITUTE,106 E TENTH ST,,75203,2015-04-21,97,routine
FLATT'S SHELL,12969 PRESTON RD,,75230,2015-04-21,100,routine
MEDICAL CITY KITCHEN BLDG E,7777 FOREST LN,E2077,75230,2015-04-21,100,routine
WALGREENS #04459,8120 S COCKRELL HILL RD,,75237,2015-04-21,100,routine
LEKKA,1921 N HENDERSON AVE,,75206,2015-04-22,81,follow-up
CITY CAFE TO GO,5757 W LOVERS LN,#103,75209,2015-04-22,82,follow-up
SHIVAS BAR & GRILL,1907 GREENVILLE AVE,,75206,2015-04-22,90,follow-up
SHEBA'S ETHIOPIAN KITCHEN,8989 FOREST LN,#136,75243,2015-04-22,61,routine
LEE'S GROCERY,3839 DIXON AVE,,75210,2015-04-22,70,routine
FLAMING CHEESE SAGANAKI GREEK,9025 FOREST LN,#101,75243,2015-04-22,71,routine
7- ELEVEN,2008 COMMERCE ST,,75201,2015-04-22,77,routine
TEPPO YAKITORI & SUSHI BR,2014 GREENVILLE AVE,,75206,2015-04-22,79,routine
B'S DONUTS,11738 MARSH LN,,75229,2015-04-22,80,routine
EL MERCADITO TAQUERIA,8515 DENTON DR,,75235,2015-04-22,80,routine
GATEWAY SHELL #26,3102 W CAMP WISDOM RD,,75237,2015-04-22,80,routine
MURPHY'S RESTAURANTE,8989 FOREST LN,#100,75243,2015-04-22,80,routine
SUNSHINE DONUTS,3021 LOMBARDY LN,#100,75220,2015-04-22,80,routine
ROYAL TAQUERIA,10818 DENNIS RD,#103,75229,2015-04-22,81,routine
SUN VALLEY GAS STATION,3633 W LEDBETTER DR,,75233,2015-04-22,81,routine
CHEVERON/SAM'S GRILL & SEAFOOD,1607 REGAL ROW,,75247,2015-04-22,82,routine
ROYAL DOLLAR & FOOD STORE,10818 DENNIS RD,#103,75229,2015-04-22,82,routine
LA JAVITA RESTAURANT,6839 HARRY HINES BLVD,,75235,2015-04-22,83,routine
MOMO'S,8989 FOREST LN,130,75243,2015-04-22,83,routine
ALDEEZ SPORTS BAR AND LOUNGE,7879 SPRING VALLEY RD,#115,75254,2015-04-22,84,routine
NEVERIA LA MEXICANA,203 W JEFFERSON BLVD,,75208,2015-04-22,84,routine
ROOTS PRESSED JUICES,3527 OAK LAWN AVE,,75219,2015-04-22,84,routine
TACO CABEZA DE RES,9757 WEBB CHAPEL RD,#A,75220,2015-04-22,84,routine
TIN STAR,13710 DALLAS PKWY,G,75240,2015-04-22,85,routine
EL MOLINO TORTILLERIA,8519 DENTON DR,,75235,2015-04-22,86,routine
LOCA LUNA MEXICAN CUISINE,5301 ALPHA RD,E 80,75240,2015-04-22,86,routine
REGAL PLAZA CAFE,320 REGAL ROW,#120,75247,2015-04-22,86,routine
KFC,4303 LEMMON AVE,,75219,2015-04-22,88,routine
CLARK FOOD & WINE,1920 GREENVILLE AVE,,75206,2015-04-22,89,routine
EL JORDAN CAFE,416 N BISHOP AVE,,75208,2015-04-22,89,routine
FAMILY DOLLAR #6817,900 E VERMONT AVE,,75216,2015-04-22,89,routine
SOULMAN'S BAR-B-QUE,1054 REGAL ROW,,75247,2015-04-22,89,routine
BIERNAT'S RESTAURANT,4217 OAK LAWN AVE,,75219,2015-04-22,90,routine
C & L CHICKEN AND SEAFOOD,4121 N WESTMORELAND RD,,75212,2015-04-22,90,routine
MURPHY'S DELI,15950 DALLAS PKWY,#150,75248,2015-04-22,90,routine
SPICE IN THE CITY,1512 COMMERCE ST,#100,75201,2015-04-22,90,routine
ZAGUAN BAKERY & CAFE,2604 OAK LAWN AVE,,75219,2015-04-22,90,routine
ANGELA'S CAFE & DELI,7979 INWOOD RD,#121,75209,2015-04-22,91,routine
RACETRAC MARKET,2506 INWOOD RD,,75235,2015-04-22,91,routine
ST ANTHONY'S SCHOOL,2711 ROMINE AVE,,75215,2015-04-22,91,routine
THE PLACE AT PERRY'S,2680 CEDAR SPRINGS RD,,75201,2015-04-22,91,routine
SALLIO BISTRO,11910 PRESTON RD,#209,75230,2015-04-22,92,routine
FRESHII,3600 GASTON AVE,107,75246,2015-04-22,93,routine
INSPIRING BODY OF CHRIST (IBOC),7701 S WESTMORELAND RD,,75237,2015-04-22,93,routine
MARY KAY CAFETERIA,1330 REGAL ROW,,75247,2015-04-22,93,routine
PANERA BREAD,11661 PRESTON RD,#222,75230,2015-04-22,93,routine
SAGE @ THE HOCKADAY SCHOOL,11600 WELCH RD,,75229,2015-04-22,93,routine
AMPHITHEATRE BLDG #H-L,1818 FIRST AVE,,75210,2015-04-22,94,routine
AMPHITHEATRE BLDG #H-S,1818 FIRST AVE,,75210,2015-04-22,94,routine
AMPHITHEATRE BLDG #J-S,1818 FIRST AVE,,75210,2015-04-22,94,routine
AMPHITHEATRE BLDG #L-J,1818 FIRST AVE,,75210,2015-04-22,94,routine
AMPHITHEATRE BLDG #Q,1818 FIRST AVE,,75210,2015-04-22,94,routine
AMPHITHEATRE BLDG #T,1818 FIRST AVE,,75210,2015-04-22,94,routine
STARBUCKS COFFEE #10575,4025 GASTON AVE,#700,75246,2015-04-22,94,routine
NEW O'MALLEY'S,2720 S ZANG BLVD,,75224,2015-04-22,96,routine
POOKIES DONUTS,6522 LEMMON AVE,,75209,2015-04-22,96,routine
SUBWAY,2555 INWOOD RD,139,75235,2015-04-22,96,routine
CRISWELL COLLEGE,4024 GASTON AVE,,75246,2015-04-22,97,routine
HOCKADAY SCHOOL ATHLETIC FIELD CONCESSION,11600 WELCH RD,,75229,2015-04-22,97,routine
M & M FOOD STORE,3223 N WESTMORELAND RD,,75212,2015-04-22,97,routine
ST PHILIP SCHOOL,1600 PENNSYLVANIA AVE,,75215,2015-04-22,97,routine
THE PLACE AT PERRY'S,2680 CEDAR SPRINGS RD,,75201,2015-04-22,97,routine
J W RAY ELEMENTARY,2211 CADDO ST,,75204,2015-04-22,100,routine
JK GOURMET,4710 W LOVERS LN,,75209,2015-04-22,100,routine
THE PLACE AT PERRY'S,2680 CEDAR SPRINGS RD,,75201,2015-04-22,100,routine
TAQUERIA LA CHIQUITA,6939 SCYENE RD,,75227,2015-04-23,60,routine
LAS HUASTECAS #2,4816 GASTON AVE,,75246,2015-04-23,75,routine
FIRESIDE PIES,7709 INWOOD RD,,75209,2015-04-23,80,routine
LENAS 190,3920 ROSEMEADE PKWY,#100,75287,2015-04-23,80,routine
LUNAS @ BROOK HOLLOW,8424 HARRY HINES BLVD,,75235,2015-04-23,80,routine
MCDONALD'S,7233 JOHN CARPENTER FRWY,,75247,2015-04-23,80,routine
BLUE MESA GRILL,7700 W NORTHWEST HWY,,75225,2015-04-23,81,routine
LAKE HOUSE,7510 E NORTHWEST HWY,,75238,2015-04-23,81,routine
MARIO BROS TACOS,5942 ABRAMS RD,,75231,2015-04-23,81,routine
MT AUBURN ELEMENTARY,6012 EAST GRAND AVE,,75223,2015-04-23,81,routine
"FRESHELLA CATERING, INC",7145 JOHN W CARPENTER FRWY,,75247,2015-04-23,82,routine
OJOS LOCOS,10230 TECHNOLOGY BLVD,E,75220,2015-04-23,82,routine
ST THOMAS SCHOOL,3741 ABRAMS RD,,75214,2015-04-23,82,routine
TAVERNA PIZZEIA & RISOTTERIA,3312 KNOX ST,,75205,2015-04-23,82,routine
DONUT PALACE,8989 FOREST LN,#140,75243,2015-04-23,83,routine
KFC,2802 E LEDBETTER DR,,75241,2015-04-23,83,routine
KISS DONUT,4024 CEDAR SPRINGS RD,,75219,2015-04-23,83,routine
KWICK STOP,2636 FRANKFORD RD,#101,75252,2015-04-23,83,routine
MATTITOS TEX MEX,3102 OAK LAWN AVE,#144,75219,2015-04-23,84,routine
DOMINO'S PIZZA #6564,4880 SUNNYVALE ST,#2714,75216,2015-04-23,85,routine
JIMMY JOHNS GOUMET SANDWICHES,1810 W MOCKINGBIRD LN,,75235,2015-04-23,85,routine
THE CHEESECAKE FACTORY,7700 W NORTHWEST HWY,#700,75225,2015-04-23,85,routine
FOOD EVOLUTION,818 METROMEDIA PL,,75247,2015-04-23,86,routine
MARIO'S MEXICAN & SALVADORIAN,5404 LEMMON AVE,,75209,2015-04-23,86,routine
SHIFA SHELL,6505 E NORTHWEST HWY,,75231,2015-04-23,86,routine
STOP & SHOP #2,5328 LEMMON AVE,,752096384,2015-04-23,86,routine
EDUARDO MATA ELEMENTARY,7420 LA VISTA DR,,75214,2015-04-23,87,routine
GOURMET CHINA,9025 FOREST LN,#102,75243,2015-04-23,87,routine
RESTAURANT & BAR RINCON HUASTECO,2115 W LOVERS LN,5 FL,75235,2015-04-23,87,routine
TROPILANA LOUNGE & GRILL,8410 HARRY HINES BLVD,,75235,2015-04-23,87,routine
WILLIAMS CHICKEN #19,1206 E LEDBETTER DR,,75216,2015-04-23,87,routine
FAMILY DOLLAR 6581,1928 E LEDBETTER DR,,75216,2015-04-23,90,routine
SONIC DRIVE IN,1330 EMPIRE CENTRAL DR,,75247,2015-04-23,90,routine
WALGREENS #06197,2401 W LEDBETTER DR,,75233,2015-04-23,90,routine
CITTI'S PIZZA,9247 SKILLMAN ST,#104,75243,2015-04-23,91,routine
DAN F LONG JR HIGH SCHOOL,2525 FRANKFORD RD,,75252,2015-04-23,91,routine
POLLITOS LAREDOS,4950 W ILLINOIS AVE,#127,75211,2015-04-23,92,routine
HAMBURGER MAN,3930 CEDAR SPRINGS RD,#100,75219,2015-04-23,93,routine
HUNKY'S,3930 CEDAR SPRINGS RD,,75219,2015-04-23,93,routine
7-ELEVEN #12301,2911 E LEDBETTER DR,,75211,2015-04-23,94,routine
H.I. HOLLAND ELEMENTARY,4203 S LANCASTER RD,,75216,2015-04-23,94,routine
JOHN NEELY BRYAN ELEM SCHOOL,2001 DEER PATH DR,,75216,2015-04-23,94,routine
WHITNEY YOUNG ELEMENTARY,4601 VETERANS DR,,75216,2015-04-23,94,routine
ZIO CECIO,4615 W LOVERS LN,,75209,2015-04-23,94,routine
WENDY'S #2051,2241 W NORTHWEST HWY,,75220,2015-04-23,95,routine
KATHY'S CHOICE,7989 BELTLINE RD,#138,75248,2015-04-23,96,routine
SANTA CLARA CATHOLIC CHURCH CAFETERIA,321 CALUMET AVE,,75211,2015-04-23,96,routine
7-ELEVEN CONVENIENCE STORE #12301,2911 E LEDBETTER DR,,75211,2015-04-23,97,routine
BONA PIZZA @ LOVERS,4218 W LOVERS LN,A,75209,2015-04-23,97,routine
DONALD H SHEFFIELD GR 4-6,18110 KELLY BLVD,,75252,2015-04-23,97,routine
DONALD H SHEFFIELD GR K-3,18111 KELLY BLVD,,75252,2015-04-23,97,routine
BGR THE JOINT,3001 KNOX AVE,#108,75205,2015-04-23,100,routine
BUY LOW FOOD AND BEER,9530 OVERLAKE DR,#A,75220,2015-04-23,100,routine
CVS PHARMACY #7412,5370 W LOVERS LN,#310,75209,2015-04-23,100,routine
PINE CREEK MEDICAL CNTR,9032 HARRY HINES BLVD,,75235,2015-04-23,100,routine
STOP & SHOP #2,5328 LEMMON AVE,,752096384,2015-04-23,100,routine
HARDEMANS BAR-B-QUE& CATERING,6931 SCYENE RD,,75227,2015-04-24,72,routine
7-11 #20769,10304 FOREST LN,#106,75243,2015-04-24,82,routine
CK BILLIARD'S,9247 SKILLMAN ST,#105,75243,2015-04-24,82,routine
DEEP SOUTH BURGER,9090 SKILLMAN ST,#174A,75243,2015-04-24,88,routine
DELI,4241 CAPITOL AVE,,75204,2015-04-24,90,routine
SUSHI BAR,4241 CAPITOL AVE,,75204,2015-04-24,90,routine
"WEISS ENTERPRISES, INC",1001 FIRST AVE,,75226,2015-04-24,90,routine
BAKERY,4241 CAPITOL AVE,,75204,2015-04-24,94,routine
CHEESE BAR,4241 CAPITOL AVE,,75204,2015-04-24,97,routine
MEAT & SEAFOOD,4241 CAPITOL AVE,,75204,2015-04-24,97,routine
STARBUCKS,4241 CAPITOL AVE,,75204,2015-04-24,97,routine
GROCERY/PRODUCE,4241 CAPITOL AVE,,75204,2015-04-24,100,routine
GOLDEN CHIC,17858 PRESTON RD,,75252,2015-04-25,80,routine
WHISTLE BRITCHES,6110 FRANKFORD RD,,75252,2015-04-25,80,routine
WENDY'S #1894,17981 PRESTON RD,,75252,2015-04-25,81,routine
SANCHEZ'S PANADERIA Y TAQUERIA,6131 LAKE JUNE PL,,75217,2015-04-26,90,routine
FUEL TOWN FUEL CITY TAQUERIA,2201 W NORTHWEST HWY,,75220,2015-04-27,75,routine
GROCERY,8014 HARRY HINES BLVD,#A,75235,2015-04-27,80,routine
MURRAY STREET COFFEE,103 MURRAY ST,,75226,2015-04-27,80,routine
BURGUESA,710 FORT WORTH AVE,,75208,2015-04-27,81,routine
FAMILY DOLLAR STORE #9425,8565 FERGUSON RD,,75228,2015-04-27,82,routine
EL RIO GRANDE #1,5308 MAPLE AVE,,75235,2015-04-27,83,routine
ANN RICHARDS MIDDLE SCHOOL,3831 N PRAIRIE CREEK,,75227,2015-04-27,85,routine
EL RIO GRANDE #1 / TAQUERIA,5308 MAPLE AVE,,75235,2015-04-27,85,routine
KING SPA 1ST FLOOR,2143 JOE FIELD RD,,75229,2015-04-27,85,routine
REAL MEXICAN TACOS,2104 E LEDBETTER DR,#1,75216,2015-04-27,85,routine
HIGHLAND MART,8002 FERGUSON RD,,75228,2015-04-27,86,routine
TEXAS LAND & CATTLE CO,10250 TECHNOLOGY BLVD,,75235,2015-04-27,86,routine
TORTILLERIA MI PUEBLO,1703 W CLARENDON DR,,75208,2015-04-27,86,routine
7-ELEVEN #35648,3020 N HAMPTON RD,,75212,2015-04-27,87,routine
N & R STATION,2104 E LEDBETTER DR,,75216,2015-04-27,88,routine
COOL ZONE BEVERAGE,11368 EMERALD ST,,75229,2015-04-27,89,routine
BAYLES ELEMENTARY SCHOOL,2444 TELEGRAPH AVE,,75228,2015-04-27,91,routine
BIG D,2207 E LEDBETTER DR,#A,75216,2015-04-27,91,routine
CASITA GROCERY & DELI,2111 W NORTHWEST HWY,,75220,2015-04-27,91,routine
W W BUSHMAN ELEMENTARY,4200 BONNIE VIEW RD,,75216,2015-04-27,91,routine
EDNA ROWE ELEMENTARY,4918 HOVENKAMP DR,,75227,2015-04-27,92,routine
EPISCOPAL SCHOOL OF DALLAS,8011 S DOUGLAS,,75225,2015-04-27,93,routine
HAMPTON SERVICES STATION,3818 N HAMPTON RD,,75212,2015-04-27,93,routine
THE EPSICOPAL SCHOOL OF,8011 DOUGLAS AVE,,75225,2015-04-27,93,routine
TRINITY RIVER MISSION,2800 N HAMPTON ST,,75212,2015-04-27,93,routine
AQUA COCKTAIL 2ND FLOOR,2143 JOE FIELD RD,,75229,2015-04-27,94,routine
HAROLD BUDD ELEMENTARY,2121 S MARSALIS AVE,,75216,2015-04-27,94,routine
OLIVER WENDELL HOLMES,2001 E KIEST BLVD,,75216,2015-04-27,94,routine
A W BROWN FELLOWSHIP CHURCH,6901 S WESTMORELAND RD,,75237,2015-04-27,100,routine
PENNE POMODORO,1924 ABRAMS PKWY,,75214,2015-04-28,64,routine
BUCKNER QUICK SHOP,4710 S BUCKNER BLVD,,75227,2015-04-28,82,routine
PARK INN RADISSON WINDOWS CAFE,1241 W MOCKINGBIRD LN,,75247,2015-04-28,87,routine
QUIKTRIP #979,10101 ROYAL LN,,75238,2015-04-28,87,routine
NEW ERA AFRICAN STORE,11312 LBJ FRWY,200,75238,2015-04-28,90,routine
SMALL BREW PUB,333 W JEFFERSON BLVD,,75208,2015-04-28,90,routine
PARK INN BY RADISSON LOVE FIELD ( RAY'S BAR),1241 W MOCKINGBIRD LN,,75247,2015-04-28,93,routine
WALGREENS #05162,8310 ABRAMS RD,,75243,2015-04-28,94,routine
CHIPOTLE MEXICAN GRILL,2201 ABRAMS RD,,75214,2015-04-28,97,routine
ZARAGOZA ELEMENTARYSCHOOL,4550 WORTH ST,,75246,2015-04-28,100,routine
THE SITUATION ROOM BAR AND GRILL,3662 W CAMP WISDOM RD,#1071,75237,2015-04-29,90,follow-up
TORTERIA EL HUARACHE,2930 W NORTHWEST HWY,,75220,2015-04-29,66,routine
EL RANCHO (SEAFOOD)- PHASE1,1515 S BUCKNER BLVD,#301,75217,2015-04-29,69,routine
HIEP PHONG BBQ AND VIETNAMESE SANDWICH,10560 WALNUT ST,#1100,75243,2015-04-29,71,routine
KITCHEN/DELI-PHASE 1,1515 S BUCKNER BLVD,#301,75217,2015-04-29,72,routine
PRODUCE PREP - PHASE 1,1515 S BUCKNER BLVD,#301,75217,2015-04-29,73,routine
MALONE'S COST PLUS #7 (PRODUCE),333 S ST AUGUSTINE RD,129,75217,2015-04-29,75,routine
EL RANCHO #8 MEAT MARKET,1515 S BUCKNER BLVD,#301,75217,2015-04-29,76,routine
CRAFT BEER CELLAR,6324 GASTON AVE,,75214,2015-04-29,79,routine
GROCERY,1515 S BUCKNER BLVD,#301,75217,2015-04-29,79,routine
JUICE BAR,1515 S BUCKNER BLVD,#301,75217,2015-04-29,80,routine
MALONE'S COST PLUS #7 (MEAT MARKET),333 S ST AUGUSTINE RD,129,75217,2015-04-29,80,routine
SASA SUSHI,6340 GASTON AVE,,75214,2015-04-29,80,routine
EL RANCHO #8 / BAKERY,1515 S BUCKNER BLVD,#301,75217,2015-04-29,81,routine
EL RANCHO #8 / TORTILLERIA,1515 S BUCKNER BLVD,#301,75217,2015-04-29,81,routine
LIBERTY BURGER,1904 ABRAMS RD,#201,75214,2015-04-29,81,routine
MEDIEVAL TIMES DINNER & TOURNAMENT - SOUTH BAR,2021 N STEMMONS FRWY,,75207,2015-04-29,82,routine
MERCADO JUAREZ CAFE,1901 W NORTHWEST HWY,,75220,2015-04-29,82,routine
WORLD FOOD WAREHOUSE GROCERY/DELI,13434 FLOYD CIR,,75243,2015-04-29,82,routine
HARMONY SCHOOL OF BUSINESS,8080 PRESIDENT GEORGE BUSH TPKE,,75252,2015-04-29,84,routine
MARISCOS 2000,2053 W NORTHWEST HWY,#82,75220,2015-04-29,84,routine
TIENDA SANTA ROSA,521 W DAVIS ST,,75208,2015-04-29,84,routine
LAKEWOOD CC BAR I,6430 GASTON AVE,,75214,2015-04-29,86,routine
LAKEWOOD CC CLUB,6430 GASTON AVE,,75214,2015-04-29,86,routine
MARKET HALL CONCESS AREA,2200 N STEMMONS FRWY,,75207,2015-04-29,86,routine
TONY'S NEIGHBORHOOD FOOD,820 N FITZHUGH AVE,,75246,2015-04-29,86,routine
MARKET HALL SNACK SHOP,2200 N STEMMONS FRWY,,75207,2015-04-29,87,routine
ADELFA BOTELLO CALLEJO,7817 MILITARY PKWY,,75228,2015-04-29,88,routine
BISHOP DUNNE HIGH NORTH,3900 RUGGED DR,,75224,2015-04-29,88,routine
J L LONG JR HIGH,6116 REIGER AVE,,75214,2015-04-29,88,routine
FIRST PRESBYTERIAN CHURCH,408 PARK AVE,,75201,2015-04-29,89,routine
REAL MEXICAN TACOS,11368 EMERALD ST,,75229,2015-04-29,89,routine
SONIC DRIVE IN,8045 FOREST LN,,75243,2015-04-29,89,routine
THE EXECUTIVE SNACK SHOP,4144 N CENTRAL EXPW,#150,75204,2015-04-29,89,routine
CREAMERY,1515 S BUCKNER BLVD,#301,75217,2015-04-29,90,routine
FIRST PRESBYTERIAN CHURCH,1822 YOUNG ST,,75201,2015-04-29,90,routine
PANADERIA VERA'S,932 W DAVIS ST,,75208,2015-04-29,90,routine
WOODROW WILSON HIGH,100 S GLASGOW DR,,75214,2015-04-29,90,routine
WENDY'S #1207,5555 N JIM MILLER RD,,75228,2015-04-29,91,routine
JARIPO,820 N FITZHUGH AVE,#100,75214,2015-04-29,92,routine
JOHN W CARPENTER SCH,2121 TOSCA LN,,75224,2015-04-29,92,routine
LAKEWOOD CC MAIN BAR,6430 GASTON AVE,,75214,2015-04-29,93,routine
AMERICAN LEGION POST 292,4442 S MARSALIS AVE,,75216,2015-04-29,94,routine
COLISEUM CONCESSION NORTH,0 FAIR PARK,,75226,2015-04-29,94,routine
COLISEUM CONCESSION SOUTH,515 FAIR PARK,,75226,2015-04-29,94,routine
COTTON BOWL STAND #1,515 FAIR PARK,,75226,2015-04-29,94,routine
COTTON BOWL STAND #10,0 FAIR PARK,,75226,2015-04-29,94,routine
COTTON BOWL STAND #11,0 FAIR PARK,,75226,2015-04-29,94,routine
